epoch,error
0,27.3799991607666
1,7.8125
2,7.812499523162842
3,7.812499523162842
4,7.812499523162842
5,7.812500476837158
6,7.812499523162842
7,7.812499523162842
8,7.8125
9,7.812499523162842
10,7.812499523162842
11,7.812499523162842
12,7.812499523162842
13,7.812499523162842
14,7.8125
15,7.8125
16,7.8125
17,7.812499523162842
18,7.8125
19,7.812499523162842
20,7.8125
21,7.8125
22,7.8125
23,7.812500476837158
24,7.812499046325684
25,7.812499046325684
26,7.812498569488525
27,7.812499046325684
28,7.8125
29,7.8125
30,7.8125
31,7.8125
32,7.812499523162842
33,7.812499523162842
34,7.8125
35,7.812500476837158
36,7.8125
37,7.8125
38,7.8125
39,7.812499523162842
40,7.8125
41,7.812500476837158
42,7.8125
43,7.812499523162842
44,7.8125
45,7.812499523162842
46,7.812500476837158
47,7.812499523162842
48,7.812499523162842
49,7.812499523162842
50,7.8125
51,7.8125
52,7.769999980926514
53,7.654999732971191
54,7.621249675750732
55,7.699999809265137
56,7.308750152587891
57,7.31374979019165
58,6.6449995040893555
59,5.666250228881836
60,4.938748836517334
61,5.212500095367432
62,4.499999523162842
63,4.212500095367432
64,4.485000133514404
65,4.982500076293945
66,4.271249771118164
67,3.552499771118164
68,4.158750057220459
69,3.5562500953674316
70,3.4825000762939453
71,3.555000066757202
72,3.812499761581421
73,3.533749580383301
74,3.305000066757202
75,3.7512497901916504
76,3.2874999046325684
77,3.403749704360962
78,3.3575000762939453
79,3.791249990463257
80,3.18500018119812
81,3.3762500286102295
82,3.2849998474121094
83,3.6000001430511475
84,3.5112500190734863
85,3.612499952316284
86,3.466249942779541
87,2.8550002574920654
88,3.0249998569488525
89,2.8325002193450928
90,2.8975000381469727
91,3.0925002098083496
92,2.75249981880188
93,3.557499647140503
94,3.3637499809265137
95,3.1449997425079346
96,2.7562501430511475
97,2.7487497329711914
98,2.7262496948242188
99,2.9462499618530273
100,2.9375
101,3.015000343322754
102,2.6750001907348633
103,2.754999876022339
104,2.4700000286102295
105,2.8787498474121094
106,3.0562498569488525
107,2.6362502574920654
108,2.6312501430511475
109,2.3912501335144043
110,2.5
111,2.34624981880188
112,2.4237496852874756
113,2.6349995136260986
114,2.869999885559082
115,2.6212499141693115
116,2.7387499809265137
117,2.2937498092651367
118,2.3500001430511475
119,2.5424997806549072
120,2.526249885559082
121,2.312499761581421
122,2.504999876022339
123,3.0162501335144043
124,3.2799997329711914
125,2.341249942779541
126,2.726249933242798
127,2.4074997901916504
128,2.0974998474121094
129,2.575000286102295
130,2.1599998474121094
131,2.442499876022339
132,2.1937496662139893
133,2.617500066757202
134,2.1524999141693115
135,2.3787498474121094
136,1.9749996662139893
137,2.2937498092651367
138,2.7412497997283936
139,2.002500057220459
140,1.96999990940094
141,2.0949997901916504
142,2.203749656677246
143,1.9237499237060547
144,1.975000023841858
145,1.9337499141693115
146,1.8987500667572021
147,1.9112498760223389
148,2.7587497234344482
149,2.5199999809265137
150,2.0224997997283936
151,2.6362497806549072
152,2.338749885559082
153,2.893749952316284
154,2.1762497425079346
155,2.4287497997283936
156,2.1837501525878906
